


Sentence : Additional components Unilay.DLL
This module provides a compatibility layer for accessing system API functions for Windows 9x. It redirects
Unicode ("W") variants of Windows API functions to corresponding ANSI variants by converting Unicode
string parameters to multi-byte strings and calling the respective ANSI API.
MD5 EF4405930E6071AE1F7F6FA7D4F3397D
Size 9 728 bytes
Compiled 2008.01.23 14:23:10 (GMT)
Format PE32 DLL, linker version 6.0 (Microsoft Visual C++ 6.0)
Exported functions (redirected to ANSI variants):
100017EF: CopyFileW
10001039: CreateDirectoryW
10001111: CreateFileW
100011B3: CreateProcessW
10001177: DeleteFileW
10001516: FindFirstChangeNoti�cationW
10001466: FindFirstFileExW
10001300: FindFirstFileW
100014C6: FindNextFileW
10001564: GetCurrentDirectoryW
1000188F: GetFileAttributesW
100016C6: GetStartupInfoW
10001602: GetSystemDirectoryW
10001664: GetWindowsDirectoryW
10001853: LoadLibraryW
1000178B: MoveFileExW
1000172D: MoveFileW
18 of 30 03/22/2015 10:21 PM
http://securelist.com/blog/research/69203/inside-t...
10001913: RegCreateKeyExW
100019F5: RegDeleteKeyW
10001DDF: RegDeleteValueW
10001A39: RegEnumKeyExW
10001BE2: RegEnumValueW
1000199B: RegOpenKeyExW
10001B23: RegQueryInfoKeyW
10001D57: RegSetValueExW
100010D5: RemoveDirectoryW
10001E81: SHGetFileInfoW
100015C6: SetCurrentDirectoryW
100018CB: SetFileAttributesW
10001E23: lstrcmpW
Output : 
{
    "nodes": [
        {"id": 1, "description": "Unilay.DLL", "type": "EXEF"},
        {"id": 24, "description": "RegDeleteValueW", "type": "TTPS"},
        {"id": 25, "description": "RegEnumKeyExW", "type": "TTPS"},
        {"id": 26, "description": "RegEnumValueW", "type": "TTPS"},
        {"id": 27, "description": "RegOpenKeyExW", "type": "TTPS"},
        {"id": 28, "description": "RegQueryInfoKeyW", "type": "TTPS"},
        {"id": 29, "description": "RegSetValueExW", "type": "TTPS"},
        {"id": 30, "description": "RemoveDirectoryW", "type": "TTPS"},
        {"id": 31, "description": "SHGetFileInfoW", "type": "TTPS"},
        {"id": 32, "description": "SetCurrentDirectoryW", "type": "TTPS"},
        {"id": 33, "description": "SetFileAttributesW", "type": "TTPS"},
        {"id": 34, "description": "lstrcmpW", "type": "TTPS"}
    ],
    "edges": [
        {"source": 1, "target": 2, "rel_name": "has_hash"},
        {"source": 1, "target": 3, "rel_name": "has_size"},
        {"source": 1, "target": 4, "rel_name": "compiled_with"},
        {"source": 1, "target": 5, "rel_name": "exports_function"},
        {"source": 1, "target": 6, "rel_name": "exports_function"},
        {"source": 1, "target": 7, "rel_name": "exports_function"},
        {"source": 1, "target": 8, "rel_name": "exports_function"},
        {"source": 1, "target": 9, "rel_name": "exports_function"},
        {"source": 1, "target": 10, "rel_name": "exports_function"},
        {"source": 1, "target": 11, "rel_name": "exports_function"},
        {"source": 1, "target": 12, "rel_name": "exports_function"},
        {"source": 1, "target": 13, "rel_name": "exports_function"},
        {"source": 1, "target": 14, "rel_name": "exports_function"},
        {"source": 1, "target": 15, "rel_name": "exports_function"},
        {"source": 1, "target": 16, "rel_name": "exports_function"},
        {"source": 1, "target": 17, "rel_name": "exports_function"},
        {"source": 1, "target": 18, "rel_name": "exports_function"},
        {"source": 1, "target": 19, "rel_name": "exports_function"},
        {"source": 1, "target": 20, "rel_name": "exports_function"},
        {"source": 1, "target": 21, "rel_name": "exports_function"},
        {"source": 1, "target": 22, "rel_name": "exports_function"},
        {"source": 1, "target": 23, "rel_name": "exports_function"},
        {"source": 1, "target": 24, "rel_name": "exports_function"},
        {"source": 1, "target": 25, "rel_name": "exports_function"},
        {"source": 1, "target": 26, "rel_name": "exports_function"},
        {"source": 1, "target": 27, "rel_name": "exports_function"},
        {"source": 1, "target": 28, "rel_name": "exports_function"},
        {"source": 1, "target": 29, "rel_name": "exports_function"},
        {"source": 1, "target": 30, "rel_name": "exports_function"},
        {"source": 1, "target": 31, "rel_name": "exports_function"},
        {"source": 1, "target": 32, "rel_name": "exports_function"},
        {"source": 1, "target": 33, "rel_name": "exports_function"},
        {"source": 1, "target": 34, "rel_name": "exports_function"}
    ]
}
