


Sentence : Conclusion
While DELoader is a relatively new malware, the findings in this research demonstrate that the threat�
actor behind it has actually been around for quite some time, and has left a substantial amount of
fingerprints over the Internet.�
Historical information shows that the individual or group using the name “Aleksandr” have been
involved in bank information theft not only of German-speaking users, but have also targeted
Australian users. It is possible that DELoader may be used to aid in similar purposes in the future.
We are unable to confirm the legitimacy of “Aleksandr’s” registrant details, or if he (or they) is working�
with a group. We may, however, have an idea on where “Aleksandr” is located.
Earlier, we showed that the geolocations of DELoader victims were concentrated in Germany and
Austria. You might have also noticed that one of the IPs deviated from that area – it resolved
to Kiev,Ukraine :
This is odd since German is not a common language in Ukraine. So we theorized that this anomalous
event may be due to someone testing the DELoader.
To test our theory, we looked up the IP in the C&C logs to find more information. Can you find the�
interesting string in the IP’s computer name below?
High five if you found “ALEXANDR”.�
-= FortiGuard Lion Team =-
IOCs
DELoader SHA-256 hashes (all detected as W32/DELoader.A!tr):
72faed0bc66afe1f42bd7e75b7ea26e0596effac65f67c0ac367a84ec4858891�
5d759710686db2c5b81c7125aacf70e252de61ab360d95e46cee8a9011c5693f
c16281c83378a597cbc4b01410f997e45b89c5d06efada8000ff79c3a24d63ca�
171693ab13668c6004a1e08b83c9877a55f150aaa6d8a624c3f8ffc712b22f0b�
5afee15a022fcdb12cc791dd02db0ec6beb2e9152b312b2251f2b8ecfe62e03c
103c6f425cfcd5eb935136f8c4ce51b9556974545bc6b7947039405164d46b0d
cec73c7b54c290b297a713e0eb07c7c2d822cc67ed61b9981256464273d63892
Domains registered by sir777alex@outlook.com:
yberprojects22017.info
masterhost8981.asia
nov15mailmarketing.in
auspostresponse22.asia
goodwinn8.asia
mastehost12312.asia
masterhost1333.asia
marketingmas.in.net
remembermetoday4.asia
startupproject33676.asia
bestbrowser-2015.biz
marketing5050.asia
marketingking878.asia
yidckntbrmhuuhmq.com
resdomactivationa.asia
ukcompanymarketing.asia
goodvin77787.in
jajajakala8212.asia
masterhost122133.asia
masterj.in
lalalababla.asia
responder201922.asia
cyberprojects2727.info
super-sexy-girl2015.net
jxsraxhlccokkrob.com
mastehost88832.asia
masterlin888.pw
mamba777.in
copolsox.us
10cyberprojects2016.asia
startupproject336.asia
masterhost122133.asia
by Floser Bacurio and Roland Dela Paz | Jun 21, 2016 | Filed in: Security Research
Tags: zeus banking trojan zbot bank fraud DELoader Android Marcher
Next Post: Industries Perspective: Financial Services, Looking Ahead For Cybersecurity
Previous Post: Securing Critical Infrastructures
Recommend
Share Sort by Best
Output : 
{
    "nodes": [
        {"id": 1, "description": "DELoader", "type" : "EXEF"},
        {"id": 41, "description": "masterlin888.pw", "type" : "CCSH"},
        {"id": 42, "description": "mamba777.in", "type" : "CCSH"},
        {"id": 43, "description": "copolsox.us", "type" : "CCSH"},
        {"id": 44, "description": "10cyberprojects2016.asia", "type" : "CCSH"},
        {"id": 45, "description": "startupproject336.asia", "type" : "CCSH"},
        {"id": 46, "description": "masterhost122133.asia (duplicate)", "type" : "CCSH"},
        {"id": 47, "description": "zeus banking trojan zbot bank fraud DELoader Android Marcher", "type" : "TTPS"}
    ],
    "edges": [
        {"source": 2, "target": 1, "rel_name" : "used"},
        {"source": 2, "target": 3, "rel_name" : "targeted"},
        {"source": 2, "target": 4, "rel_name" : "targeted"},
        {"source": 2, "target": 5, "rel_name" : "located in"},
        {"source": 2, "target": 6, "rel_name" : "tested from"},
        {"source": 7, "target": 1, "rel_name" : "found in computer name of C&C server IP"},
        {"source": 8, "target": 1, "rel_name" : "hash of"},
        {"source": 9, "target": 1, "rel_name" : "hash of"},
        {"source": 10, "target": 1, "rel_name" : "hash of"},
        {"source": 11, "target": 1, "rel_name" : "hash of"},
        {"source": 12, "target": 1, "rel_name" : "hash of"},
        {"source": 13, "target": 1, "rel_name" : "hash of"},
        {"source": 14, "target": 1, "rel_name" : "hash of"},
        {"source": 15, "target": 2, "rel_name" : "registered by"},
        {"source": 16, "target": 2, "rel_name" : "registered by"},
        {"source": 17, "target": 2, "rel_name" : "registered by"},
        {"source": 18, "target": 2, "rel_name" : "registered by"},
        {"source": 19, "target": 2, "rel_name" : "registered by"},
        {"source": 20, "target": 2, "rel_name" : "registered by"},
        {"source": 21, "target": 2, "rel_name" : "registered by"},
        {"source": 22, "target": 2, "rel_name" : "registered by"},
        {"source": 23, "target": 2, "rel_name" : "registered by"},
        {"source": 24, "target": 2, "rel_name" : "registered by"},
        {"source": 25, "target": 2, "rel_name" : "registered by"},
        {"source": 26, "target": 2, "rel_name" : "registered by"},
        {"source": 27, "target": 2, "rel_name" : "registered by"},
        {"source": 28, "target": 2, "rel_name" : "registered by"},
        {"source": 29, "target": 2, "rel_name" : "registered by"},
        {"source": 30, "target": 2, "rel_name" : "registered by"},
        {"source": 31, "target": 2, "rel_name" : "registered by"},
        {"source": 32, "target": 2, "rel_name" : "registered by"},
        {"source": 33, "target": 2, "rel_name" : "registered by"},
        {"source": 34, "target": 2, "rel_name" : "registered by"},
        {"source": 35, "target": 2, "rel_name" : "registered by"},
        {"source": 36, "target": 2, "rel_name" : "registered by"},
        {"source": 37, "target": 2, "rel_name" : "registered by"},
        {"source": 38, "target": 2, "rel_name" : "registered by"},
        {"source": 39, "target": 2, "rel_name" : "registered by"},
        {"source": 40, "target": 2, "rel_name" : "registered by"},
        {"source": 41, "target": 2, "rel_name" : "registered by"},
        {"source": 42, "target": 2, "rel_name" : "registered by"},
        {"source": 43, "target": 2, "rel_name" : "registered by"},
        {"source": 44, "target": 2, "rel_name" : "registered by"},
        {"source": 45, "target": 2, "rel_name" : "registered by"},
        {"source": 46, "target": 2, "rel_name" : "registered by"},
        {"source": 47, "target": 1, "rel_name" : "related to"}
    ]
}
