


Sentence : Filenames
Most of the ProjectSauron DLL filenames seem to have been generated automatically by multiplication of
several prefixes, roots and suffixes in a random order.
%System%\rpchlpr.exe
%System%\symnet32.dll
%System%\rdiskman.dll
%System%\rseceng.dll
%System%\msprtssp.dll
%System%\ncompc.dll
%System%\rdeskm.dll
%System%\dpsf.dll
%System%\nsecf.dll
%System%\rdesk.dll
%System%\dpsloc.dll
%System%\ddeskm.dll
%System%\rdisksup.dll
%System%\rcompf.dll
%System%\ncompsup.dll
%System%\rdiskf.dll
%System%\iseceng.dll
%System%\msasspc.dll
%System%\wpsloc.dll
%System%\wpackpwf.dll
%System%\rcnfm.dll
%Temp%\kavupdate.exe
%Temp%\kavupd.exe
For any inquiries, contact intelreports@kaspersky.com Page 2 of 6
The ProjectSauron APT. Indicators of Compromise
%Temp%\klnupd.exe
%System%\hptcpprnt.dll
%System%\rdeskf.dll
%System%\ncnfloc.dll
%System%\msaosspc.dll
%System%\ndiskloc.dll
%System%\mperfcl.dll
%System%\polsec.dll
%System%\sxsmgrkbd.dll
%System%\cfgbaseprt.dll
%System%\seccertapi.dll
%System%\krbsec.dll
%System%\prnpapi.dll
%System%\ndisk.dll
%System%\ndisksup.dll
%System%\rdiskloc.dll
%System%\pngmon.dll
%System%\kavsec64.dll
%System%\wlseccomm.dll
%System%\rcnfsys.dll
%System%\wpackshim.dll
%System%\ncnfsys.dll
%System%\sxsapifeed.dll
%System%\wmupdsvc.dll
%System%\dpsf.dll
%System%\compc.dll
%System%\rdiskf.dll
%System%\compman.dll
%System%\cnfsys.dll
%System%\isecf.dll
%System%\klsec.dll
%System%\nagent.exe
%System%\rpsf.dll
%System%\tv_prntx64.dll
%System%\wdesksys.dll
%System%\dsecc.dll
%System%\dcompf.dll
%System%\dsecman.dll
%System%\isecc.dll
%System%\rcompc.dll
%System%\rcnfloc.dll
%System%\rdisk.dll
%System%\dcompman.dll
%System%\npsloc.dll
%System%\nsecc.dll
%System%\wcprts32.dll
%System%\rpsloc.dll
For any inquiries, contact intelreports@kaspersky.com Page 3 of 6
The ProjectSauron APT. Indicators of Compromise
%System%\rsecman.dll
%System%\mstimed.dll
%System%\dcompsup.dll
%System%\compsup.dll
%System%\ncompman.dll
%System%\rsecloc.dll
%System%\rdeskman.dll
%System%\mfc64d.dll
%System%\sceclid.dll
%System%\ddesksys.dll
%System%\isecman.dll
%System%\scsvc32.exe
%System%\polcfg.dll
%System%\cnfloc.dll
%System%\nseci.dll
%System%\eapproxycrypt.dll
Output : 
{
    "nodes": [
        {"id": 1, "description": "%System%", "type" : "SYSP"},
        {"id": 41, "description": "rdiskloc.dll", "type" : "DOCF"},
        {"id": 42, "description": "pngmon.dll", "type" : "DOCF"},
        {"id": 43, "description": "kavsec64.dll", "type" : "DOCF"},
        {"id": 44, "description": "wlseccomm.dll", "type" : "DOCF"},
        {"id": 45, "description": "rcnfsys.dll", "type" : "DOCF"},
        {"id": 46, "description": "wpackshim.dll", "type" : "DOCF"},
        {"id": 47, "description": "ncnfsys.dll", "type" : "DOCF"},
        {"id": 48, "description": "sxsapifeed.dll", "type" : "DOCF"},
        {"id": 49, "description": "wmupdsvc.dll", "type" : "DOCF"},
        {"id": 50, "description": "compc.dll", "type" : "DOCF"},
        {"id": 51, "description": "rdiskf.dll", "type" : "DOCF"},
        {"id": 52, "description": "compman.dll", "type" : "DOCF"},
        {"id": 53, "description": "cnfsys.dll", "type" : "DOCF"},
        {"id": 54, "description": "isecf.dll", "type" : "DOCF"},
        {"id": 55, "description": "klsec.dll", "type" : "DOCF"},
        {"id": 56, "description": "nagent.exe", "type" : "EXEF"},
        {"id": 57, "description": "rpsf.dll", "type" : "DOCF"},
        {"id": 58, "description": "tv_prntx64.dll", "type" : "DOCF"},
        {"id": 59, "description": "wdesksys.dll", "type" : "DOCF"},
        {"id": 60, "description": "dsecc.dll", "type" : "DOCF"},
        {"id": 61, "description": "dcompf.dll", "type" : "DOCF"},
        {"id": 62, "description": "dsecman.dll", "type" : "DOCF"},
        {"id": 63, "description": "isecc.dll", "type" : "DOCF"},
        {"id": 64, "description": "rcompc.dll", "type" : "DOCF"},
        {"id": 65, "description": "rcnfloc.dll", "type" : "DOCF"},
        {"id": 66, "description": "rdisk.dll", "type" : "DOCF"},
        {"id": 67, "description": "dcompman.dll", "type" : "DOCF"},
        {"id": 68, "description": "npsloc.dll", "type" : "DOCF"},
        {"id": 69, "description": "nsecc.dll", "type" : "DOCF"},
        {"id": 70, "description": "wcprts32.dll", "type" : "DOCF"},
        {"id": 71, "description": "rpsloc.dll", "type" : "DOCF"},
        {"id": 72, "description": "rsecman.dll", "type" : "DOCF"},
        {"id": 73, "description": "mstimed.dll", "type" : "DOCF"},
        {"id": 74, "description": "dcompsup.dll", "type" : "DOCF"},
        {"id": 75, "description": "compsup.dll", "type" : "DOCF"},
        {"id": 76, "description": "ncompman.dll", "type" : "DOCF"},
        {"id": 77, "description": "rsecloc.dll", "type" : "DOCF"},
        {"id": 78, "description": "rdeskman.dll", "type" : "DOCF"},
        {"id": 79, "description": "mfc64d.dll", "type" : "DOCF"},
        {"id": 80, "description": "sceclid.dll", "type" : "DOCF"},
        {"id": 81, "description": "ddesksys.dll", "type" : "DOCF"},
        {"id": 82, "description": "isecman.dll", "type" : "DOCF"},
        {"id": 83, "description": "scsvc32.exe", "type" : "EXEF"},
        {"id": 84, "description": "polcfg.dll", "type" : "DOCF"},
        {"id": 85, "description": "cnfloc.dll", "type" : "DOCF"},
        {"id": 86, "description": "nseci.dll", "type" : "DOCF"},
        {"id": 87, "description": "eapproxycrypt.dll", "type" : "DOCF"}
    ],
    "edges": [
        {"source": 1, "target": 3, "rel_name" : "contains"},
        {"source": 1, "target": 4, "rel_name" : "contains"},
        {"source": 1, "target": 5, "rel_name" : "contains"},
        {"source": 1, "target": 6, "rel_name" : "contains"},
        {"source": 1, "target": 7, "rel_name" : "contains"},
        {"source": 1, "target": 8, "rel_name" : "contains"},
        {"source": 1, "target": 9, "rel_name" : "contains"},
        {"source": 1, "target": 10, "rel_name" : "contains"},
        {"source": 1, "target": 11, "rel_name" : "contains"},
        {"source": 1, "target": 12, "rel_name" : "contains"},
        {"source": 1, "target": 13, "rel_name" : "contains"},
        {"source": 1, "target": 14, "rel_name" : "contains"},
        {"source": 1, "target": 15, "rel_name" : "contains"},
        {"source": 1, "target": 16, "rel_name" : "contains"},
        {"source": 1, "target": 17, "rel_name" : "contains"},
        {"source": 1, "target": 18, "rel_name" : "contains"},
        {"source": 1, "target": 19, "rel_name" : "contains"},
        {"source": 1, "target": 20, "rel_name" : "contains"},
        {"source": 1, "target": 21, "rel_name" : "contains"},
        {"source": 1, "target": 22, "rel_name" : "contains"},
        {"source": 1, "target": 23, "rel_name" : "contains"},
        {"source": 1, "target": 27, "rel_name" : "contains"},
        {"source": 1, "target": 28, "rel_name" : "contains"},
        {"source": 1, "target": 29, "rel_name" : "contains"},
        {"source": 1, "target": 30, "rel_name" : "contains"},
        {"source": 1, "target": 31, "rel_name" : "contains"},
        {"source": 1, "target": 32, "rel_name" : "contains"},
        {"source": 1, "target": 33, "rel_name" : "contains"},
        {"source": 1, "target": 34, "rel_name" : "contains"},
        {"source": 1, "target": 35, "rel_name" : "contains"},
        {"source": 1, "target": 36, "rel_name" : "contains"},
        {"source": 1, "target": 37, "rel_name" : "contains"},
        {"source": 1, "target": 38, "rel_name" : "contains"},
        {"source": 1, "target": 39, "rel_name" : "contains"},
        {"source": 1, "target": 40, "rel_name" : "contains"},
        {"source": 1, "target": 41, "rel_name" : "contains"},
        {"source": 1, "target": 42, "rel_name" : "contains"},
        {"source": 1, "target": 43, "rel_name" : "contains"},
        {"source": 1, "target": 44, "rel_name" : "contains"},
        {"source": 1, "target": 45, "rel_name" : "contains"},
        {"source": 1, "target": 46, "rel_name" : "contains"},
        {"source": 1, "target": 47, "rel_name" : "contains"},
        {"source": 1, "target": 48, "rel_name" : "contains"},
        {"source": 1, "target": 49, "rel_name" : "contains"},
        {"source": 1, "target": 50, "rel_name" : "contains"},
        {"source": 1, "target": 51, "rel_name" : "contains"},
        {"source": 1, "target": 52, "rel_name" : "contains"},
        {"source": 1, "target": 53, "rel_name" : "contains"},
        {"source": 1, "target": 54, "rel_name" : "contains"},
        {"source": 1, "target": 55, "rel_name" : "contains"},
        {"source": 1, "target": 56, "rel_name" : "contains"},
        {"source": 1, "target": 57, "rel_name" : "contains"},
        {"source": 1, "target": 58, "rel_name" : "contains"},
        {"source": 1, "target": 59, "rel_name" : "contains"},
        {"source": 1, "target": 60, "rel_name" : "contains"},
        {"source": 1, "target": 61, "rel_name" : "contains"},
        {"source": 1, "target": 62, "rel_name" : "contains"},
        {"source": 1, "target": 63, "rel_name" : "contains"},
        {"source": 1, "target": 64, "rel_name" : "contains"},
        {"source": 1, "target": 65, "rel_name" : "contains"},
        {"source": 1, "target": 66, "rel_name" : "contains"},
        {"source": 1, "target": 67, "rel_name" : "contains"},
        {"source": 1, "target": 68, "rel_name" : "contains"},
        {"source": 1, "target": 69, "rel_name" : "contains"},
        {"source": 1, "target": 70, "rel_name" : "contains"},
        {"source": 1, "target": 71, "rel_name" : "contains"},
        {"source": 1, "target": 72, "rel_name" : "contains"},
        {"source": 1, "target": 73, "rel_name" : "contains"},
        {"source": 1, "target": 74, "rel_name" : "contains"},
        {"source": 1, "target": 75, "rel_name" : "contains"},
        {"source": 1, "target": 76, "rel_name" : "contains"},
        {"source": 1, "target": 77, "rel_name" : "contains"},
        {"source": 1, "target": 78, "rel_name" : "contains"},
        {"source": 1, "target": 79, "rel_name" : "contains"},
        {"source": 1, "target": 80, "rel_name" : "contains"},
        {"source": 1, "target": 81, "rel_name" : "contains"},
        {"source": 1, "target": 82, "rel_name" : "contains"},
        {"source": 1, "target": 83, "rel_name" : "contains"},
        {"source": 1, "target": 84, "rel_name" : "contains"},
        {"source": 1, "target": 85, "rel_name" : "contains"},
        {"source": 1, "target": 86, "rel_name" : "contains"},
        {"source": 1, "target": 87, "rel_name" : "contains"},
        {"source": 2, "target": 24, "rel_name" : "contains"},
        {"source": 2, "target": 25, "rel_name" : "contains"},
        {"source": 2, "target": 26, "rel_name" : "contains"}
    ]
}
