


Sentence : The main module supports 48 commands, which the attackers can use to control the victim machine #NaikonAPT
Here is the complete list of commands:
0 CMD_MAIN_INFO
1 CMD_PROCESS_REFRESH
2 CMD_PROCESS_NAME
3 CMD_PROCESS_KILL
4 CMD_PROCESS_MODULE
5 CMD_DRIVE_REFRESH
6 CMD_DIRECTORY
7 CMD_DIRECTORY_CREATE
8 CMD_DIRECTORY_CREATE_HIDDEN
9 CMD_DIRECTORY_DELETE
10 CMD_DIRECTORY_RENAME
11 CMD_DIRECOTRY_DOWNLOAD
12 CMD_FILE_REFRESH
13 CMD_FILE_DELETE
14 CMD_FILE_RENAME
15 CMD_FILE_EXECUTE_NORMAL
16 CMD_FILE_EXECUTE_HIDDEN
17 CMD_FILE_EXECUTE_NORMAL_CMD
18 CMD_FILE_EXECUTE_HIDDEN_CMD
19 CMD_FILE_UPLOAD
20 CMD_FILE_DOWNLOAD
21 CMD_WINDOWS_INFO
22 CMD_WINDOWS_MESSAGE
23 CMD_SHELL_OPEN
24 CMD_SHELL_CLOSE
25 CMD_SHELL_WRITE
26 CMD_SERVICE_REFRESH
27 CMD_SERVICE_CONTROL
28 CMD_PROGRAM_INFO
29 CMD_UNINSTALL_PROGRAM
30 CMD_REGESTRY_INFO
31 CMD_ADD_AUTO_START
32 CMD_MY_PLUGIN
33 CMD_3RD_PLUGIN
34 CMD_REG_CREATEKEY
35 CMD_REG_DELETEKEY
36 CMD_REG_SETVALUE
37 CMD_REG_DELETEVALUE
38 CMD_SELF_KILL
39 CMD_SELF_RESTART
40 CMD_SELF_CONFIG
41 CMD_SELF_UPDATE
42 CMD_SERVER_INFO
43 CMD_INSTALL_SERVICE
44 CMD_FILE_DOWNLOAD2
45 CMD_RESET
46 CMD_CONNECTION_TABLE
50 CMD_HEART_BEAT
Several modifications of the main module exist. There are no
fundamental differences between modifications; it’s just that extra
features get added to the latest versions, such as compression
and encryption of transmitted data, or the piecemeal download of
large files.
Aug 23
d085ba82824c1e61e93e113a705b8e9a 118272
b4a8dc9eb26e727eafb6c8477963829c 140800
172fd9cce78de38d8cbcad605e3d6675 118784
d74a7e7a4de0da503472f1f051b68745 190464
93e84075bef7a11832d9c5aa70135dc6 154624
Output : 
{
    "nodes": [
        {"id": 1, "description": "The main module", "type" : "EXEF"},
        {"id": 29, "description": "25 CMD_SHELL_WRITE", "type" : "TTPS"},
        {"id": 30, "description": "26 CMD_SERVICE_REFRESH", "type" : "TTPS"},
        {"id": 31, "description": "27 CMD_SERVICE_CONTROL", "type" : "TTPS"},
        {"id": 32, "description": "28 CMD_PROGRAM_INFO", "type" : "TTPS"},
        {"id": 33, "description": "29 CMD_UNINSTALL_PROGRAM", "type" : "TTPS"},
        {"id": 34, "description": "30 CMD_REGESTRY_INFO", "type" : "TTPS"},
        {"id": 35, "description": "31 CMD_ADD_AUTO_START", "type" : "TTPS"},
        {"id": 36, "description": "32 CMD_MY_PLUGIN", "type" : "TTPS"},
        {"id": 37, "description": "33 CMD_3RD_PLUGIN", "type" : "TTPS"},
        {"id": 38, "description": "34 CMD_REG_CREATEKEY", "type" : "TTPS"},
        {"id": 39, "description": "35 CMD_REG_DELETEKEY", "type" : "TTPS"},
        {"id": 40, "description": "36 CMD_REG_SETVALUE", "type" : "TTPS"},
        {"id": 41, "description": "37 CMD_REG_DELETEVALUE", "type" : "TTPS"},
        {"id": 42, "description": "38 CMD_SELF_KILL", "type" : "TTPS"},
        {"id": 43, "description": "39 CMD_SELF_RESTART", "type" : "TTPS"},
        {"id": 44, "description": "40 CMD_SELF_CONFIG", "type" : "TTPS"},
        {"id": 45, "description": "41 CMD_SELF_UPDATE", "type" : "TTPS"},
        {"id": 46, "description": "42 CMD_SERVER_INFO", "type" : "TTPS"},
        {"id": 47, "description": "43 CMD_INSTALL_SERVICE", "type" : "TTPS"},
        {"id": 48, "description": "44 CMD_FILE_DOWNLOAD2", "type" : "TTPS"},
        {"id": 49, "description": "45 CMD_RESET", "type" : "TTPS"},
        {"id": 50, "description": "46 CMD_CONNECTION_TABLE", "type" : "TTPS"},
        {"id": 51, "description": "50 CMD_HEART_BEAT", "type" : "TTPS"},
        {"id": 52, "description": "d085ba82824c1e61e93e113a705b8e9a", "type" : "IOCS"},
        {"id": 53, "description": "b4a8dc9eb26e727eafb6c8477963829c", "type" : "IOCS"},
        {"id": 54, "description": "172fd9cce78de38d8cbcad605e3d6675", "type" : "IOCS"},
        {"id": 55, "description": "d74a7e7a4de0da503472f1f051b68745", "type" : "IOCS"},
        {"id": 56, "description": "93e84075bef7a11832d9c5aa70135dc6", "type" : "IOCS"}
    ],
    "edges": [
        {"source": 2, "target": 1, "rel_name" : "uses"},
        {"source": 1, "target": 3, "rel_name" : "controls"},
        {"source": 4, "target": 1, "rel_name" : "part of"},
        {"source": 5, "target": 1, "rel_name" : "part of"},
        {"source": 6, "target": 1, "rel_name" : "part of"},
        {"source": 7, "target": 1, "rel_name" : "part of"},
        {"source": 8, "target": 1, "rel_name" : "part of"},
        {"source": 9, "target": 1, "rel_name" : "part of"},
        {"source": 10, "target": 1, "rel_name" : "part of"},
        {"source": 11, "target": 1, "rel_name" : "part of"},
        {"source": 12, "target": 1, "rel_name" : "part of"},
        {"source": 13, "target": 1, "rel_name" : "part of"},
        {"source": 14, "target": 1, "rel_name" : "part of"},
        {"source": 15, "target": 1, "rel_name" : "part of"},
        {"source": 16, "target": 1, "rel_name" : "part of"},
        {"source": 17, "target": 1, "rel_name" : "part of"},
        {"source": 18, "target": 1, "rel_name" : "part of"},
        {"source": 19, "target": 1, "rel_name" : "part of"},
        {"source": 20, "target": 1, "rel_name" : "part of"},
        {"source": 21, "target": 1, "rel_name" : "part of"},
        {"source": 22, "target": 1, "rel_name" : "part of"},
        {"source": 23, "target": 1, "rel_name" : "part of"},
        {"source": 24, "target": 1, "rel_name" : "part of"},
        {"source": 25, "target": 1, "rel_name" : "part of"},
        {"source": 26, "target": 1, "rel_name" : "part of"},
        {"source": 27, "target": 1, "rel_name" : "part of"},
        {"source": 28, "target": 1, "rel_name" : "part of"},
        {"source": 29, "target": 1, "rel_name" : "part of"},
        {"source": 30, "target": 1, "rel_name" : "part of"},
        {"source": 31, "target": 1, "rel_name" : "part of"},
        {"source": 32, "target": 1, "rel_name" : "part of"},
        {"source": 33, "target": 1, "rel_name" : "part of"},
        {"source": 34, "target": 1, "rel_name" : "part of"},
        {"source": 35, "target": 1, "rel_name" : "part of"},
        {"source": 36, "target": 1, "rel_name" : "part of"},
        {"source": 37, "target": 1, "rel_name" : "part of"},
        {"source": 38, "target": 1, "rel_name" : "part of"},
        {"source": 39, "target": 1, "rel_name" : "part of"},
        {"source": 40, "target": 1, "rel_name" : "part of"},
        {"source": 41, "target": 1, "rel_name" : "part of"},
        {"source": 42, "target": 1, "rel_name" : "part of"},
        {"source": 43, "target": 1, "rel_name" : "part of"},
        {"source": 44, "target": 1, "rel_name" : "part of"},
        {"source": 45, "target": 1, "rel_name" : "part of"},
        {"source": 46, "target": 1, "rel_name" : "part of"},
        {"source": 47, "target": 1, "rel_name" : "part of"},
        {"source": 48, "target": 1, "rel_name" : "part of"},
        {"source": 49, "target": 1, "rel_name" : "part of"},
        {"source": 50, "target": 1, "rel_name" : "part of"},
        {"source": 51, "target": 1, "rel_name" : "part of"},
        {"source": 52, "target": 1, "rel_name" : "hashes of"},
        {"source": 53, "target": 1, "rel_name" : "hashes of"},
        {"source": 54, "target": 1, "rel_name" : "hashes of"},
        {"source": 55, "target": 1, "rel_name" : "hashes of"},
        {"source": 56, "target": 1, "rel_name" : "hashes of"}
    ]
}
