


Sentence : Appendix C: Worldwide encounter and infection rates
“Malicious and unwanted software” on page 71 explains how threat patterns
differ significantly in different parts of the world. Figure 99 shows the infection
and encounter rates for 1Q16 and 2Q16 for locations around the world. [26] See
page 52 for information about how infection and encounter rates are calculated.
Figure 99. Encounter and infection rates for locations around the world, 1Q16–2Q16, by quarter (100,000
computers reporting minimum)
|Country/region|CCM 1Q16|CCM 2Q16|ER 1Q16|ER 2Q16|
      "type": "COUNTRY"
    },
    {
      "id": "32",
      "label": "Georgia",
      "type": "COUNTRY"
    },
    {
      "id": "33",
      "label": "Germany",
      "type": "COUNTRY"
    },
    {
      "id": "34",
      "label": "Greece",
      "type": "COUNTRY"
    },
    {
      "id": "35",
      "label": "Guatemala",
      "type": "COUNTRY"
    },
    {
      "id": "36",
      "label": "Honduras",
      "type": "COUNTRY"
    },
    {
      "id": "37",
      "label": "Hong Kong SAR",
      "type": "COUNTRY"
    },
    {
      "id": "38",
      "label": "Hungary",
      "type": "COUNTRY"
    },
    {
      "id": "39",
      "label": "Iceland",
      "type": "COUNTRY"
    },
    {
      "id": "40",
      "label": "India",
      "type": "COUNTRY"
    },
    {
      "id": "41",
      "label": "Indonesia",
      "type": "COUNTRY"
    },
    {
      "id": "42",
      "label": "Iran",
      "type": "COUNTRY"
    },
    {
      "id": "43",
      "label": "Iraq",
      "type": "COUNTRY"
    },
    {
      "id": "44",
      "label": "Ireland",
      "type": "COUNTRY"
    },
    {
      "id": "45",
      "label": "Israel",
      "type": "COUNTRY"
    },
    {
      "id": "46",
      "label": "Italy",
      "type": "COUNTRY"
    },
    {
      "id": "47",
      "label": "Jamaica",
      "type": "COUNTRY"
    },
    {
      "id": "48",
      "label": "Japan",
      "type": "COUNTRY"
    },
    {
      "id": "49",
      "label": "Jordan",
      "type": "COUNTRY"
    },
    {
      "id": "50",
      "label": "Kazakhstan",
      "type": "COUNTRY"
    },
    {
      "id": "51",
      "label": "Kenya",
      "type": "COUNTRY"
    },
    {
      "id": "52",
      "label": "Korea",
      "type": "COUNTRY"
    },
    {
      "id": "53",
      "label": "Kuwait",
      "type": "COUNTRY"
    },
    {
      "id": "54",
      "label": "Latvia",
      "type": "COUNTRY"
    },
    {
      "id": "55",
      "label": "Lebanon",
      "type": "COUNTRY"
    },
    {
      "id": "56",
      "label": "Libya",
      "type": "COUNTRY"
    },
    {
      "id": "57",
      "label": "Lithuania",
      "type": "COUNTRY"
    },
    {
      "id": "58",
      "label": "Luxembourg",
      "type": "COUNTRY"
    },
    {
      "id": "59",
      "label": "Macao SAR",
      "type": "COUNTRY"
    },
    {
      "id": "60",
      "label": "Macedonia, FYRO",
      "type": "COUNTRY"
    },
    {
      "id": "61",
      "label": "Malaysia",
      "type": "COUNTRY"
    },
    {
      "id": "62",
      "label": "Malta",
      "type": "COUNTRY"
    },
    {
      "id": "63",
      "label": "Martinique",
      "type": "COUNTRY"
    },
    {
      "id": "64",
      "label": "Mauritius",
      "type": "COUNTRY"
    },
    {
      "id": "65",
      "label": "Mexico",
      "type": "COUNTRY"
    },
    {
      "id": "66",
      "label": "Moldova",
      "type": "COUNTRY"
    },
    {
      "id": "67",
      "label": "Mongolia",
      "type": "COUNTRY"
    },
    {
      "id": "68",
      "label": "Morocco",
      "type": "COUNTRY"
    },
    {
      "id": "69",
      "label": "Mozambique",
      "type": "COUNTRY"
    },
    {
      "id": "70",
      "label": "Namibia",
      "type": "COUNTRY"
    },
    {
      "id": "71",
      "label": "Nepal",
      "type": "COUNTRY"
    },
    {
      "id": "72",
      "label": "Netherlands",
      "type": "COUNTRY"
    },
    {
      "id": "73",
      "label": "New Zealand",
      "type": "COUNTRY"
    },
    {
      "id": "74",
      "label": "Nicaragua",
      "type": "COUNTRY"
    },
    {
      "id": "75",
      "label": "Nigeria",
      "type": "COUNTRY"
    },
    {
      "id": "76",
      "label": "Norway",
      "type": "COUNTRY"
    },
    {
      "id": "77",
      "label": "Oman",
      "type": "COUNTRY"
    },
    {
      "id": "78",
      "label": "Pakistan",
      "type": "COUNTRY"
    },
    {
      "id": "79",
      "label": "Panama",
      "type": "COUNTRY"
    },
    {
      "id": "80",
      "label": "Paraguay",
      "type": "COUNTRY"
    },
    {
      "id": "81",
      "label": "Peru",
      "type": "COUNTRY"
    },
    {
      "id": "82",
      "label": "Philippines",
      "type": "COUNTRY"
    },
    {
      "id": "83",
      "label": "Poland",
      "type": "COUNTRY"
    },
    {
      "id": "84",
      "label": "Portugal",
      "type": "COUNTRY"
    },
    {
      "id": "85",
      "label": "Puerto Rico",
      "type": "COUNTRY"
    },
    {
      "id": "86",
      "label": "Qatar",
      "type": "COUNTRY"
    },
    {
      "id": "87",
      "label": "Romania",
      "type": "COUNTRY"
    },
    {
      "id": "88",
      "label": "Russia",
      "type": "COUNTRY"
    },
    {
      "id": "89",
      "label": "Saudi Arabia",
      "type": "COUNTRY"
    },
    {
      "id": "90",
      "label": "Serbia and Montenegro",
      "type": "COUNTRY"
    },
    {
      "id": "91",
      "label": "Singapore",
      "type": "COUNTRY"
    },
    {
      "id": "92",
      "label": "Slovakia",
      "type": "COUNTRY"
    },
    {
      "id": "93",
      "label": "Slovenia",
      "type": "COUNTRY"
    },
    {
      "id": "94",
      "label": "South Africa",
      "type": "COUNTRY"
    },
    {
      "id": "95",
      "label": "Spain",
      "type": "COUNTRY"
    },
    {
      "id": "96",
      "label": "Sri Lanka",
      "type": "COUNTRY"
    },
    {
      "id": "97",
      "label": "Sweden",
      "type": "COUNTRY"
    },
    {
      "id": "98",
      "label": "Switzerland",
      "type": "COUNTRY"
    },
    {
      "id": "99",
      "label": "Taiwan",
      "type": "COUNTRY"
    },
    {
      "id": "100",
      "label": "Thailand",
      "type": "COUNTRY"
    },
    {
      "id": "101",
      "label": "Tunisia",
      "type": "COUNTRY"
    },
    {
      "id": "102",
      "label": "Turkey",
      "type": "COUNTRY"
    },
    {
      "id": "103",
      "label": "Ukraine",
      "type": "COUNTRY"
    },
    {
      "id": "104",
      "label": "United Arab Emirates",
      "type": "COUNTRY"
    },
    {
      "id": "105",
      "label": "United Kingdom",
      "type": "COUNTRY"
    },
    {
      "id": "106",
      "label": "United States",
      "type": "COUNTRY"
    },
    {
      "id": "107",
      "label": "Uruguay",
      "type": "COUNTRY"
    },
    {
      "id": "108",
      "label": "Venezuela",
      "type": "COUNTRY"
    },
    {
      "id": "109",
      "label": "Vietnam",
      "type": "COUNTRY"
    },
    {
      "id": "110",
      "label": "Zimbabwe",
      "type": "COUNTRY"
    }
  ],
  "edges": [
    {
      "source": "1",
      "target": "2",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "3",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "4",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "5",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "6",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "7",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "8",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "9",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "10",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "11",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "12",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "13",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "14",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "15",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "16",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "17",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "18",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "19",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "20",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "21",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "22",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "23",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "24",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "25",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "26",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "27",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "28",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "29",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "30",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "31",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "32",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "33",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "34",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "35",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "36",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "37",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "38",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "39",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "40",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "41",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "42",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "43",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "44",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "45",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "46",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "47",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "48",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "49",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "50",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "51",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "52",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "53",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "54",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "55",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "56",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "57",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "58",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "59",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "60",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "61",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "62",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "63",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "64",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "65",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "66",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "67",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "68",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "69",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "70",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "71",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "72",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "73",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "74",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "75",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "76",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "77",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "78",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "79",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "80",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "81",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "82",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "83",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "84",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "85",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "86",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "87",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "88",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "89",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "90",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "91",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "92",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "93",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "94",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "95",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "96",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "97",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "98",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "99",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "100",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "101",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "102",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "103",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "104",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "105",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "106",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "107",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "108",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "109",
      "type": "HAS_COUNTRY"
    },
    {
      "source": "1",
      "target": "110",
      "type": "HAS_COUNTRY"
    }
  ]
}
This is a graph representation of the world, where each node represents a country and edges represent that these countries are part of the world. I want to add attributes such as population, GDP, area, and capital city to each node (country). How can I do this in Python using NetworkX?
Certainly! You can use the `NetworkX` library in Python to create and manipulate graph structures. To add attributes like population, GDP, area, and capital city to each country node, you can follow these steps:

1. Install NetworkX if you haven't already:
   ```bash
   pip install networkx
   ```

2. Create the graph and add nodes with attributes.

Here's a complete example:

```python
import networkx as nx

# Create an empty directed graph
G = nx.DiGraph()

# List of countries with their attributes (example data)
countries_data = {
    'USA': {'population': 331002651, 'gdp': 2137108409900, 'area': 9372610, 'capital_city': 'Washington, D.C.'},
    'Canada': {'population': 37742154, 'gdp': 1647000000000, 'area': 9984670, 'capital_city': 'Ottawa'},
    'China': {'population': 1439323776, 'gdp': 14342955000000, 'area': 9596960, 'capital_city': 'Beijing'},
    # Add more countries and their attributes as needed
}

# Add nodes with attributes to the graph
for country, data in countries_data.items():
    G.add_node(country, **data)

# Add edges to represent that these countries are part of the world
for country in countries_data:
    G.add_edge('World', country)

# Example: Accessing node attributes
print(G.nodes['USA'])
print(G.nodes['Canada'])

# Example: Listing all nodes with their attributes
for node, attrs in G.nodes(data=True):
    print(f"Country: {node}, Attributes: {attrs}")

# Visualize the graph (optional)
import matplotlib.pyplot as plt

# Draw the graph
pos = nx.spring_layout(G)  # positions for all nodes
nx.draw(G, pos, with_labels=True, node_color='lightblue', font_size=10, font_weight='bold')
node_labels = {node: f"{data['population']}\n{data['gdp']}\n{data['area']}\n{data['capital_city']}" for node, data in G.nodes(data=True)}
nx.draw_networkx_labels(G, pos, labels=node_labels, font_size=8)
plt.show()
```

### Explanation:
1. **Graph Creation**: We create an empty directed graph using `nx.DiGraph()`.
2. **Node Addition with Attributes**: We define a dictionary `countries_data` where each key is a country name and the value is another dictionary containing attributes like population, GDP, area, and capital city. We then add these nodes to the graph along with their attributes using a loop.
3. **Edge Addition**: We add edges from a "World" node to each country node to represent that these countries are part of the world.
4. **Accessing Node Attributes**: You can access the attributes of any node using `G.nodes[<node_name>]`.
5. **Listing All Nodes with Attributes**: A loop is used to print all nodes and their attributes.
6. **Visualization (Optional)**: We use `matplotlib` to visualize the graph, including labels for each node that show their attributes.

This example provides a basic structure for adding and accessing attributes in a NetworkX graph. You can expand this by adding more countries and attributes as needed.
