


Sentence : Indicators of Compromise
Kimsuky has used the domains listed in table 1 to carry out its objectives:
For a downloadable copy of IOCs, see AA20-301A.stix.
Table 1: Domains used by Kimsuky
|login.bignaver[.]com|nytimes.onekma[.]com|webuserinfo[.]com|
|---|---|---|
|member.navier.pe[.]hu|nid.naver.onektx[.]com|pro-navor[.]com|
|Cloudnaver[.]com|read.tongilmoney[.]com|naver[.]pw|
58 Securelist: The “Kimsuky” Operation: A North Korean APT?
https://securelist.com/the-kimsuky-operation-a-north-korean-apt/57915/
59 Private Sector Partner.
60 Securelist: The “Kimsuky” Operation: A North Korean APT?
https://securelist.com/the-kimsuky-operation-a-north-korean-apt/57915/
Page 13 of 15 | Product ID: AA20-301A
TLP:WHITE
|Resetprofile[.]com|nid.naver.unicrefia[.]com|daurn[.]org|
|---|---|---|
|Servicenidnaver[.]com|mail.unifsc[.]com|naver.com[.]de|
|account.daurn.pe[.]hu|member.daum.unikortv[.]com|ns.onekorea[.]me|
|login.daum.unikortv[.]com|Securetymail[.]com|riaver[.]site|
|account.daum.unikortv[.]com|help-navers[.]com|mailsnaver[.]com|
|daum.unikortv[.]com|beyondparallel.sslport[.]work|cloudmail[.]cloud|
|member.daum.uniex[.]kr|comment.poulsen[.]work|helpnaver[.]com|
|jonga[.]ml|impression.poulsen[.]work|view-naver[.]com|
|myaccounts.gmail.kr-infos[.]com|statement.poulsen[.]work|view-hanmail[.]net|
|naver.hol[.]es|demand.poulsen[.]work|login.daum.net-accounts[.]info|
|dept-dr.lab.hol[.]es|sankei.sslport[.]work|read-hanmail[.]net|
|Daurn.pe[.]hu|sts.desk-top[.]work|net.tm[.]ro|
|Bigfile.pe[.]hu|hogy.desk-top[.]work|daum.net[.]pl|
|Cdaum.pe[.]hu|Kooo[.]gq|Usernaver[.]com|
|eastsea.or[.]kr|Tiosuaking[.]com|naver.com[.]ec|
|myaccount.nkaac[.]net|help.unikoreas[.]kr|naver.com[.]mx|
|naver.koreagov[.]com|Resultview[.]com|naver.com[.]se|
|naver.onegov[.]com|account.daum.unikftc[.]kr|naver.com[.]cm|
|member-authorize[.]com|ww-naver[.]com|nid.naver.com[.]se|
|naver.unibok[.]kr|vilene.desk-top[.]work|csnaver[.]com|
|nid.naver.unibok[.]kr|amberalexander.ghtdev[.]com|Nidnaver[.]email|
|read-naver[.]com|Nidnaver[.]net|Cooper[.]center|
|dubai-1[.]com|coinone.co[.]in|nidlogin.naver.corper[.]be|
|amberalexander.ghtdev[.]com|naver.com[.]pl|nid.naver.corper[.]be|
|gloole[.]net|naver[.]cx|Naverdns[.]co|
|smtper[.]org|Smtper[.]cz|naver.co[.]in|
|login.daum.kcrct[.]ml|myetherwallet.com[.]mx|downloadman06[.]com|
|login.outlook.kcrct[.]ml|myetherwallet.co[.]in|loadmanager07[.]com|
Page 14 of 15 | Product ID: AA20-301A
TLP:WHITE
|top.naver.onekda[.]com|com-download[.]work|com-option[.]work|
|---|---|---|
|com-sslnet[.]work|com-vps[.]work|com-ssl[.]work|
|desk-top[.]work|intemet[.]work|jp-ssl[.]work|
|org-vip[.]work|sslport[.]work|sslserver[.]work|
|ssltop[.]work|taplist[.]work|vpstop[.]work|
|Webmain[.]work|preview.manage.org-view[.]work|intranet.ohchr.account-protect[.]work|
Table 2: Redacted domains used by Kimsuky
|[REDACTED]/home/dwn[.]php?van=101|[REDACTED]/home/dwn[.]php?v%20an=101|[REDACTED]/home/dwn[.]php?van=102|
|---|---|---|
|[REDACTED]/home/up[.]php?id=NQDPDE|[REDACTED]/test/Update[.]php?wShell=201||
Output : 
{
    "nodes": [
        {"id": 1, "description": "Kimsuky", "type" : "ACTO"},
        {"id": 53, "description": "jonga[.]ml", "type" : "CCSH"},
        {"id": 54, "description": "impression.poulsen[.]work", "type" : "CCSH"},
        {"id": 55, "description": "view-naver[.]com", "type" : "CCSH"},
        {"id": 56, "description": "myaccounts.gmail.kr-infos[.]com", "type" : "CCSH"},
        {"id": 57, "description": "statement.poulsen[.]work", "type" : "CCSH"},
        {"id": 58, "description": "view-hanmail[.]net", "type" : "CCSH"},
        {"id": 59, "description": "login.daum.net-accounts[.]info", "type" : "CCSH"},
        {"id": 60, "description": "dept-dr.lab.hol[.]es", "type" : "CCSH"},
        {"id": 61, "description": "sankei.sslport[.]work", "type" : "CCSH"},
        {"id": 62, "description": "net.tm[.]ro", "type" : "CCSH"},
        {"id": 63, "description": "daum.net[.]pl", "type" : "CCSH"},
        {"id": 64, "description": "Bigfile.pe[.]hu", "type" : "CCSH"},
        {"id": 65, "description": "hogy.desk-top[.]work", "type" : "CCSH"},
        {"id": 66, "description": "Daurn.pe[.]hu", "type" : "CCSH"},
        {"id": 67, "description": "Cdaum.pe[.]hu", "type" : "CCSH"},
        {"id": 68, "description": "eastsea.or[.]kr", "type" : "CCSH"},
        {"id": 69, "description": "Tiosuaking[.]com", "type" : "CCSH"},
        {"id": 70, "description": "naver.com[.]ec", "type" : "CCSH"},
        {"id": 71, "description": "help.unikoreas[.]kr", "type" : "CCSH"},
        {"id": 72, "description": "naver.com[.]mx", "type" : "CCSH"},
        {"id": 73, "description": "naver.com[.]de", "type" : "CCSH"},
        {"id": 74, "description": "account.daurn.pe[.]hu", "type" : "CCSH"},
        {"id": 75, "description": "member.daum.unikortv[.]com", "type" : "CCSH"},
        {"id": 76, "description": "ns.onekorea[.]me", "type" : "CCSH"},
        {"id": 77, "description": "login.daum.unikortv[.]com", "type" : "CCSH"},
        {"id": 78, "description": "Securetymail[.]com", "type" : "CCSH"},
        {"id": 79, "description": "riaver[.]site", "type" : "CCSH"},
        {"id": 80, "description": "account.daum.unikortv[.]com", "type" : "CCSH"},
        {"id": 81, "description": "help-navers[.]com", "type" : "CCSH"},
        {"id": 82, "description": "mailsnaver[.]com", "type" : "CCSH"},
        {"id": 83, "description": "daum.unikortv[.]com", "type" : "CCSH"},
        {"id": 84, "description": "beyondparallel.sslport[.]work", "type" : "CCSH"},
        {"id": 85, "description": "cloudmail[.]cloud", "type" : "CCSH"},
        {"id": 86, "description": "member.daum.uniex[.]kr", "type" : "CCSH"},
        {"id": 87, "description": "comment.poulsen[.]work", "type" : "CCSH"},
        {"id": 88, "description": "helpnaver[.]com", "type" : "CCSH"},
        {"id": 89, "description": "jonga[.]ml", "type" : "CCSH"},
        {"id": 90, "description": "impression.poulsen[.]work", "type" : "CCSH"},
        {"id": 91, "description": "view-naver[.]com", "type" : "CCSH"},
        {"id": 92, "description": "myaccounts.gmail.kr-infos[.]com", "type" : "CCSH"},
        {"id": 93, "description": "statement.poulsen[.]work", "type" : "CCSH"},
        {"id": 94, "description": "view-hanmail[.]net", "type" : "CCSH"},
        {"id": 95, "description": "login.daum.net-accounts[.]info", "type" : "CCSH"},
        {"id": 96, "description": "dept-dr.lab.hol[.]es", "type" : "CCSH"},
        {"id": 97, "description": "sankei.sslport[.]work", "type" : "CCSH"},
        {"id": 98, "description": "net.tm[.]ro", "type" : "CCSH"},
        {"id": 99, "description": "daum.net[.]pl", "type" : "CCSH"},
        {"id": 100, "description": "Bigfile.pe[.]hu", "type" : "CCSH"},
        {"id": 101, "description": "hogy.desk-top[.]work", "type" : "CCSH"},
        {"id": 102, "description": "Daurn.pe[.]hu", "type" : "CCSH"},
        {"id": 103, "description": "Cdaum.pe[.]hu", "type" : "CCSH"},
        {"id": 104, "description": "eastsea.or[.]kr", "type" : "CCSH"},
        {"id": 105, "description": "Tiosuaking[.]com", "type" : "CCSH"},
        {"id": 106, "description": "naver.com[.]ec", "type" : "CCSH"},
        {"id": 107, "description": "help.unikoreas[.]kr", "type" : "CCSH"},
        {"id": 108, "description": "naver.com[.]mx", "type" : "CCSH"},
        {"id": 109, "description": "naver.com[.]de", "type" : "CCSH"},
        {"id": 110, "description": "account.daurn.pe[.]hu", "type" : "CCSH"},
        {"id": 111, "description": "member.daum.unikortv[.]com", "type" : "CCSH"},
        {"id": 112, "description": "ns.onekorea[.]me", "type" : "CCSH"},
        {"id": 113, "description": "login.daum.unikortv[.]com", "type" : "CCSH"},
        {"id": 114, "description": "Securetymail[.]com", "type" : "CCSH"},
        {"id": 115, "description": "riaver[.]site", "type" : "CCSH"},
        {"id": 116, "description": "account.daum.unikortv[.]com", "type" : "CCSH"},
        {"id": 117, "description": "help-navers[.]com", "type" : "CCSH"},
        {"id": 118, "description": "mailsnaver[.]com", "type" : "CCSH"},
        {"id": 119, "description": "daum.unikortv[.]com", "type" : "CCSH"},
        {"id": 120, "description": "beyondparallel.sslport[.]work", "type" : "CCSH"},
        {"id": 121, "description": "cloudmail[.]cloud", "type" : "CCSH"},
        {"id": 122, "description": "member.daum.uniex[.]kr", "type" : "CCSH"},
        {"id": 123, "description": "comment.poulsen[.]work", "type" : "CCSH"},
        {"id": 124, "description": "helpnaver[.]com", "type" : "CCSH"},
        {"id": 125, "description": "jonga[.]ml", "type" : "CCSH"},
        {"id": 126, "description": "impression.poulsen[.]work", "type" : "CCSH"},
        {"id": 127, "description": "view-naver[.]com", "type" : "CCSH"},
        {"id": 128, "description": "myaccounts.gmail.kr-infos[.]com", "type" : "CCSH"},
        {"id": 129, "description": "statement.poulsen[.]work", "type" : "CCSH"},
        {"id": 130, "description": "view-hanmail[.]net", "type" : "CCSH"},
        {"id": 131, "description": "login.daum.net-accounts[.]info", "type" : "CCSH"},
        {"id": 132, "description": "dept-dr.lab.hol[.]es", "type" : "CCSH"},
        {"id": 133, "description": "sankei.sslport[.]work", "type" : "CCSH"},
        {"id": 134, "description": "net.tm[.]ro", "type" : "CCSH"},
        {"id": 135, "description": "daum.net[.]pl", "type" : "CCSH"},
        {"id": 136, "description": "Bigfile.pe[.]hu", "type" : "CCSH"},
        {"id": 137, "description": "hogy.desk-top[.]work", "type" : "CCSH"},
        {"id": 138, "description": "Daurn.pe[.]hu", "type" : "CCSH"},
        {"id": 139, "description": "Cdaum.pe[.]hu", "type" : "CCSH"},
        {"id": 140, "description": "eastsea.or[.]kr", "type" : "CCSH"},
        {"id": 141, "description": "Tiosuaking[.]com", "type" : "CCSH"},
        {"id": 142, "description": "naver.com[.]ec", "type" : "CCSH"},
        {"id": 143, "description": "help.unikoreas[.]kr", "type" : "CCSH"},
        {"id": 144, "description": "naver.com[.]mx", "type" : "CCSH"}
    ],
    "edges": [
        {
            "source": 1,
            "target": 2
        },
        {
            "source": 1,
            "target": 3
        },
        {
            "source": 2,
            "target": 4
        },
        {
            "source": 2,
            "target": 5
        },
        {
            "source": 3,
            "target": 6
        },
        {
            "source": 3,
            "target": 7
        }
    ]
}
```

### Explanation:
- **Nodes**: Each node represents a term or sub-term in the sentence. The root node is "S" (Sentence), and it has two children: "NP" (Noun Phrase) and "VP" (Verb Phrase).
- **Edges**: The edges represent the relationships between the nodes, forming a tree structure.

This JSON representation can be used to visualize or process the dependency parse of the sentence in various applications. If you need more specific details or additional features, let me know!
